p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	pct.ratio
7.61539450293016e-26	3.07922556026082	0.068	0.01	2.00117336747999e-21	telencephalon	hey1	6.27272727272727
9.63329057918172e-26	1.0087519863516	0.628	0.453	2.53143609839737e-21	telencephalon	fgfr1a	1.38546255506608
9.98434810083164e-26	2.77736196873675	0.068	0.01	2.62368699393654e-21	telencephalon	mtcl1	6.27272727272727
1.78426022092169e-25	-4.35515165862784	0.017	0.214	4.68867900853802e-21	telencephalon	pax7b	0.0837209302325582
1.96110678687936e-25	-0.738450825935618	0.566	0.772	5.15339641456157e-21	telencephalon	eif4g1a	0.733505821474774
2.42197889571883e-25	0.715549694742156	0.919	0.882	6.36447614216993e-21	telencephalon	foxp4	1.04190260475651
3.81822713830503e-25	1.04602716033059	0.715	0.572	1.0033537274038e-20	telencephalon	chsy1	1.24956369982548
6.50710751173279e-25	2.17295034825096	0.12	0.03	1.70993771193314e-20	telencephalon	BX511178.2	3.90322580645161
7.83886025077276e-25	0.92409204908752	0.659	0.506	2.05989569669807e-20	telencephalon	notch1b	1.30177514792899
8.97416004970333e-25	2.99788571370823	0.066	0.01	2.35822977786104e-20	telencephalon	gsx2	6.09090909090909
2.60304461404761e-24	-3.79432602503328	0.039	0.237	6.84028063679432e-20	telencephalon	pcbp4	0.168067226890756
3.71016759350446e-24	1.8125967927127	0.267	0.117	9.74957840221102e-20	telencephalon	rtn1a	2.27118644067797
3.77114092797333e-24	2.93501499348627	0.074	0.013	9.90980413052831e-20	telencephalon	insm1a	5.35714285714286
4.41562423159584e-24	-2.29049328262742	0.097	0.31	1.16033773557875e-19	telencephalon	rnf220a	0.315112540192926
4.44400995291714e-24	1.97181210494517	0.169	0.055	1.16779693542757e-19	telencephalon	runx1t1	3.03571428571429
5.23909016592672e-24	2.02739184100199	0.107	0.025	1.37672811380222e-19	telencephalon	nog1	4.15384615384615
6.17264750465517e-24	1.62220427837126	0.215	0.081	1.62204831127329e-19	telencephalon	her2	2.63414634146341
6.63690257384365e-24	1.4628862961174	0.345	0.175	1.74404525835463e-19	telencephalon	cdc25b	1.96590909090909
6.79222180369797e-24	0.813779613531994	0.581	0.363	1.78486004557575e-19	telencephalon	epha2a	1.5989010989011
1.76172893179284e-23	1.31421863791735	0.432	0.261	4.62947128696523e-19	telencephalon	nid2a	1.65267175572519
2.1570101261403e-23	0.508503218398715	0.938	0.86	5.66819120947148e-19	telencephalon	ncam1a	1.09059233449477
4.67962433007404e-23	1.22444511255256	0.32	0.155	1.22971168145686e-18	telencephalon	zic3	2.05769230769231
5.2619149348156e-23	-0.849171092722213	0.329	0.578	1.38272600657084e-18	telencephalon	zeb2a	0.569948186528497
6.16166749352071e-23	-1.04087571288803	0.264	0.503	1.61916298394737e-18	telencephalon	nap1l1	0.525793650793651
6.17663972551151e-23	2.85638051070593	0.066	0.011	1.62309738706992e-18	telencephalon	neurod1	5.58333333333333
6.26114023856198e-23	1.2307564710444	0.312	0.149	1.64530243188932e-18	telencephalon	si:dkey-217l24.1	2.08666666666667
6.61619107630497e-23	0.812504015891282	0.488	0.285	1.73860269103142e-18	telencephalon	kirrel3l	1.70979020979021
1.1411082869164e-22	1.90399974318128	0.196	0.073	2.9986043563589e-18	telencephalon	dcc	2.66216216216216
1.4579875676172e-22	0.562112357750193	0.585	0.349	3.83129973018449e-18	telencephalon	epha4a	1.67428571428571
1.5845308712313e-22	0.786177350133802	0.682	0.505	4.1638302234216e-18	telencephalon	ENSDARG00000059707	1.3498023715415
1.76429669273111e-22	1.54639046846499	0.254	0.109	4.6362188491588e-18	telencephalon	celf5a	2.31818181818182
2.18773231430778e-22	0.618377087981993	0.915	0.846	5.74892297553797e-18	telencephalon	mdka	1.0814639905549
2.54914264261107e-22	-2.02971347081411	0.058	0.259	6.69863703625338e-18	telencephalon	slc16a6a	0.226923076923077
3.50056498663398e-22	-1.47081201551992	0.287	0.494	9.19878467187678e-18	telencephalon	fgfr3	0.581818181818182
4.07167935550393e-22	1.17490606498973	0.455	0.281	1.06995590103932e-17	telencephalon	sox11b	1.61702127659574
4.76617054963352e-22	-1.26196998481309	0.192	0.421	1.2524542970327e-17	telencephalon	bop1	0.457345971563981
6.57065285909667e-22	1.13050732514135	0.612	0.441	1.72663615831342e-17	telencephalon	nav2a	1.3868778280543
8.97051978627293e-22	0.678628042153176	0.831	0.713	2.3572731894368e-17	telencephalon	epb41a	1.16526610644258
1.07951093077765e-21	1.14723972908763	0.523	0.355	2.83673882389752e-17	telencephalon	tead1b	1.47191011235955
1.08572418185002e-21	1.63688015888793	0.196	0.075	2.85306600506548e-17	telencephalon	acvr1ba	2.5921052631579
1.38687251511903e-21	2.38940148440641	0.099	0.024	3.64442359522979e-17	telencephalon	celsr3	4
1.67343305025777e-21	-1.40497419109497	0.167	0.389	4.39744736946737e-17	telencephalon	sb:cb81	0.430769230769231
2.5678839429172e-21	0.943243765418777	0.585	0.424	6.74788542519781e-17	telencephalon	pik3c2b	1.37882352941176
2.57861405275366e-21	1.19204158301888	0.349	0.185	6.77608200782608e-17	telencephalon	gpm6aa	1.88172043010753
3.216661239252e-21	-2.16562697047088	0.095	0.292	8.4527424045064e-17	telencephalon	pax6b	0.327645051194539
5.78850278989404e-21	2.21801396392893	0.116	0.032	1.52110276312836e-16	telencephalon	tfap2a	3.54545454545455
6.32216277089018e-21	0.929081078034766	0.698	0.543	1.66133793293452e-16	telencephalon	sox13	1.28492647058824
7.27291922915193e-21	2.19299073917019	0.12	0.034	1.91117771503654e-16	telencephalon	CSRNP3	3.45714285714286
8.29412765278258e-21	1.30104629549602	0.421	0.256	2.17953086459821e-16	telencephalon	qkib	1.6420233463035
8.3316268538798e-21	1.06230272319994	0.444	0.271	2.18938490466253e-16	telencephalon	rgmd	1.63602941176471
8.8847697377937e-21	1.19003752432113	0.409	0.237	2.33473979169743e-16	telencephalon	rgma	1.72268907563025
9.27040564288341e-21	-1.26093035027696	0.167	0.384	2.4360771948369e-16	telencephalon	heatr1	0.436363636363636
1.47950251159583e-20	2.33864174972874	0.114	0.032	3.88783669997152e-16	telencephalon	KIRREL3	3.48484848484848
1.48649452736445e-20	0.786971209084395	0.653	0.515	3.9062103190083e-16	telencephalon	blmh	1.26744186046512
1.5157789708816e-20	2.59467061973315	0.068	0.012	3.98316397968268e-16	telencephalon	sox1a	5.30769230769231
1.64957388840316e-20	1.8304895284629	0.198	0.079	4.33475026394583e-16	telencephalon	wnt7bb	2.4875
3.64951273922321e-20	1.14892299939735	0.351	0.189	9.59018957613076e-16	telencephalon	MARK4	1.85263157894737
4.09403008719219e-20	0.703720101465135	0.736	0.606	1.07582922631236e-15	telencephalon	celf2	1.21416803953872
4.09786248828126e-20	-2.52697561501046	0.064	0.243	1.07683630467055e-15	telencephalon	ppargc1b	0.266393442622951
